path,dataset,ref_raw,pred_raw,wer_raw,ref_normalized,hyp_normalized,wer,cer,sequence_similarity,ref_word_count,hyp_word_count
839130.wav,uzbek_voice,"Vaqt undan foydalanib aqlliroq, yaxshiroq, pishiqroq bo'lish uchun berilgan.","Vaqt undan foydalanib aqlliroq, yaxshiroq, pishiqroq bo'lish uchun berilgan.",0.0,vaqt undan foydalanib aqlliroq yaxshiroq pishiqroq bo'lish uchun berilgan,vaqt undan foydalanib aqlliroq yaxshiroq pishiqroq bo'lish uchun berilgan,0.0,0.0,1.0,9,9
00005621.wav,news,"Sudlanuvchi Zafarov advokatlari, shaxsiyat bo'yicha savollar bormi?",Sudlanuvchi Zafarov advokatlari shaxsiyat bo'yicha savollar bormi?,0.1429,sudlanuvchi zafarov advokatlari shaxsiyat bo'yicha savollar bormi,sudlanuvchi zafarov advokatlari shaxsiyat bo'yicha savollar bormi,0.0,0.0,1.0,7,7
common_voice_uz_29008694.wav,common_voice,Iltimos bilan Erkin akaga berilgan.,Ijtimos bilan erkin akaga berilgan.,0.4,iltimos bilan erkin akaga berilgan,ijtimos bilan erkin akaga berilgan,0.2,0.0294,0.9706,5,5
360531.wav,uzbek_voice,Toshkentda O'zbekiston-Xitoy hukumatlararo hamkorlik qo'mitasining majlisi o'tkazildi.,Toshkentda O'zbekiston Xitoy hukumatlararo hamkorlik qo'mitasining majlisi o'tkazildi.,0.2857,toshkentda o'zbekiston-xitoy hukumatlararo hamkorlik qo'mitasining majlisi o'tkazildi,toshkentda o'zbekiston xitoy hukumatlararo hamkorlik qo'mitasining majlisi o'tkazildi,0.2857,0.0118,0.9882,7,8
112053.wav,uzbek_voice,"Shuningdek, shahar ko'chalarida svetoforlar o'chib qolgan.","Shuningdek, shahar ko'chalarida siftovorlar o'chib qolgan.",0.1667,shuningdek shahar ko'chalarida svetoforlar o'chib qolgan,shuningdek shahar ko'chalarida siftovorlar o'chib qolgan,0.1667,0.0536,0.9464,6,6
common_voice_uz_29520826.wav,common_voice,Elektron hukumat to'g'risidagi qonunchilikni takomillashtirish bo'yicha takliflar ishlab chiqishda ishtirok etadi.,Elektron hukumat to'g'risidagi qonunchilikni takomillashtirish bo'yicha takliflar ishlab chiqishda ishtirok etadi.,0.0,elektron hukumat to'g'risidagi qonunchilikni takomillashtirish bo'yicha takliflar ishlab chiqishda ishtirok etadi,elektron hukumat to'g'risidagi qonunchilikni takomillashtirish bo'yicha takliflar ishlab chiqishda ishtirok etadi,0.0,0.0,1.0,11,11
155323.wav,uzbek_voice,Farg'ona shahri va tumaniga yangi hokim tayinlandi.,Farg'ona shahri va tumaniga yangi hokim tayinlandi.,0.0,farg'ona shahri va tumaniga yangi hokim tayinlandi,farg'ona shahri va tumaniga yangi hokim tayinlandi,0.0,0.0,1.0,7,7
339709.wav,uzbek_voice,Bunga sabab plazma televizorlariga bo'lgan talabning pasayishi bo'lgan.,Bunga sabab plazma televizorlariga bo'lgan talabning pasayishi bo'lgan.,0.0,bunga sabab plazma televizorlariga bo'lgan talabning pasayishi bo'lgan,bunga sabab plazma televizorlariga bo'lgan talabning pasayishi bo'lgan,0.0,0.0,1.0,8,8
449811.wav,uzbek_voice,Robbilari huzuriga borishganda ularni ikrom qilib savoblarini ko'paytirib beradi.,Robbalari huzuriga borishganda ularni ikrom qilib savoblarini ko'paytirib beradi.,0.1111,robbilari huzuriga borishganda ularni ikrom qilib savoblarini ko'paytirib beradi,robbalari huzuriga borishganda ularni ikrom qilib savoblarini ko'paytirib beradi,0.1111,0.0125,0.9875,9,9
839148.wav,uzbek_voice,"Birinchidan, qishloq xo'jaligida davlat aralashuviga to'liq barham berilishi lozim.","Birinchidan, qishloq xo'jaligida davlat aralashuviga to'liq barham berilishi lozim.",0.0,birinchidan qishloq xo'jaligida davlat aralashuviga to'liq barham berilishi lozim,birinchidan qishloq xo'jaligida davlat aralashuviga to'liq barham berilishi lozim,0.0,0.0,1.0,9,9
343832.wav,uzbek_voice,Avtomobil 9 marotaba qoida buzilishi bo'yicha ro'yxatga olingan.,Avtomobil 9 marotaba qoida buzilishi bo'yicha ro'yxatga olingan.,0.0,avtomobil to'qqiz marotaba qoida buzilishi bo'yicha ro'yxatga olingan,avtomobil to'qqiz marotaba qoida buzilishi bo'yicha ro'yxatga olingan,0.0,0.0,1.0,8,8
188983.wav,uzbek_voice,Bu afzalliklar oddiy xonani haqiqiy kinoteatrga aylantiradi.,Bu afzalliklar oddiy xonani haqiqiy kinoteatrga aylantiradi.,0.0,bu afzalliklar oddiy xonani haqiqiy kinoteatrga aylantiradi,bu afzalliklar oddiy xonani haqiqiy kinoteatrga aylantiradi,0.0,0.0,1.0,7,7
857931.wav,uzbek_voice,187 605,187 605,0.0,bir yuz sakson yetti ming olti yuz besh,bir yuz sakson yetti ming olti yuz besh,0.0,0.0,1.0,8,8
457245.wav,uzbek_voice,Jarohat olganlar va yetkazilgan zarar bo'yicha hozircha ma'lumotlar yo'q.,Jarohat olganlar va yetkazilgan zarar bo'yicha hozircha ma'lumotlar yo'q.,0.0,jarohat olganlar va yetkazilgan zarar bo'yicha hozircha ma'lumotlar yo'q,jarohat olganlar va yetkazilgan zarar bo'yicha hozircha ma'lumotlar yo'q,0.0,0.0,1.0,9,9
782288.wav,uzbek_voice,"Katta yettilik Ukrainadan don eksporti uchun sanksiyalar joriy qiladi, Oq uy.","Katta yettilik Ukrainadan don eksporti uchun sanksiyalar joriy qiladi, Oq uy.",0.0,katta yettilik ukrainadan don eksporti uchun sanksiyalar joriy qiladi oq uy,katta yettilik ukrainadan don eksporti uchun sanksiyalar joriy qiladi oq uy,0.0,0.0,1.0,11,11
497004.wav,uzbek_voice,"Har qanday dori zaharga aylanishi mumkin, zahar esa doriga.",Har qanday dori zahariga aylanishi mumkin. Zahar esa doriga.,0.3333,har qanday dori zaharga aylanishi mumkin zahar esa doriga,har qanday dori zahariga aylanishi mumkin zahar esa doriga,0.1111,0.0175,0.9913,9,9
common_voice_uz_29606475.wav,common_voice,Yosh tadbirkorlar uchun imtiyozli kreditlar ajratish tartibi qanday?,Yosh tadbirkorlar uchun imtiyozli kreditlar ajratish tartibi qanday?,0.0,yosh tadbirkorlar uchun imtiyozli kreditlar ajratish tartibi qanday,yosh tadbirkorlar uchun imtiyozli kreditlar ajratish tartibi qanday,0.0,0.0,1.0,8,8
293735.wav,uzbek_voice,Biz yurtimizda bunday holatlar bo'lmasligi tarafdorimiz.,Biz yurtimizda bunday holatlar bo'lmasligi tarafdorimiz.,0.0,biz yurtimizda bunday holatlar bo'lmasligi tarafdorimiz,biz yurtimizda bunday holatlar bo'lmasligi tarafdorimiz,0.0,0.0,1.0,6,6
82941.wav,uzbek_voice,Bahodir Yusupov o'limi sababiga aniqlik kiritilmagan.,Bahodir Yusupov o'limi sababiga aniqlik kiritilmagan.,0.0,bahodir yusupov o'limi sababiga aniqlik kiritilmagan,bahodir yusupov o'limi sababiga aniqlik kiritilmagan,0.0,0.0,1.0,6,6
140798.wav,uzbek_voice,Hozirda futbol bo'yicha Germaniya chempionati tomoshabinlarsiz o'tkazilmoqda.,Hozirda futbol bo'yicha Germaniya chempionati tomoshabinlarsiz o'tkazilmoqda.,0.0,hozirda futbol bo'yicha germaniya chempionati tomoshabinlarsiz o'tkazilmoqda,hozirda futbol bo'yicha germaniya chempionati tomoshabinlarsiz o'tkazilmoqda,0.0,0.0,1.0,7,7
common_voice_uz_28909365.wav,common_voice,Shu narsa shuhratparastlikdir yana.,"Shu narsa shuhratbaraslikdir, yana.",0.25,shu narsa shuhratparastlikdir yana,shu narsa shuhratbaraslikdir yana,0.25,0.0588,0.9552,4,4
00010054.wav,news,"direktorining birinchi o'rinbosari Abdulla Abduqodirovdan javob olamiz. Abdulla aka, assalomu alaykum. Va alaykum assalom. Kiritilayotgan investitsiyalar nimaga sarflanayotgani haqidagi javobga o'tishdan oldin o'zi umuman Yevropa tiklanish va taraqqiyot bankining O'zbekiston uchun ahamiyati qay darajada ekaniga ikki og'iz izoh berib o'tsangiz.","direktorining birinchi o'rinbosari Abdulla Abduqodirovdan javob olamiz. Abdulla aka, assalomu alaykum. Va alaykum assalom. Kiritilayotgan investitsiyalar nimaga sarflanayotgani haqidagi javobga o'tishdan oldin o'zi umuman Yevropa tiklanish va taraqqiyot bankining O'zbekiston uchun ahamiyati qay darajada ekaniga ikki og'iz izoh berib o'tsangiz.",0.0,direktorining birinchi o'rinbosari abdulla abduqodirovdan javob olamiz abdulla aka assalomu alaykum va alaykum assalom kiritilayotgan investitsiyalar nimaga sarflanayotgani haqidagi javobga o'tishdan oldin o'zi umuman yevropa tiklanish va taraqqiyot bankining o'zbekiston uchun ahamiyati qay darajada ekaniga ikki og'iz izoh berib o'tsangiz,direktorining birinchi o'rinbosari abdulla abduqodirovdan javob olamiz abdulla aka assalomu alaykum va alaykum assalom kiritilayotgan investitsiyalar nimaga sarflanayotgani haqidagi javobga o'tishdan oldin o'zi umuman yevropa tiklanish va taraqqiyot bankining o'zbekiston uchun ahamiyati qay darajada ekaniga ikki og'iz izoh berib o'tsangiz,0.0,0.0,1.0,40,40
721367.wav,uzbek_voice,Keyinchalik esa bosqichma-bosqich boshqa hududlarda joriy etish belgilangan.,Keyinchalik esa bosqichma-bosqich boshqa hududlarda joriy etish belgilangan.,0.0,keyinchalik esa bosqichma-bosqich boshqa hududlarda joriy etish belgilangan,keyinchalik esa bosqichma-bosqich boshqa hududlarda joriy etish belgilangan,0.0,0.0,1.0,8,8
145100.wav,uzbek_voice,Funksiya kompyuter va mobil qurilmalarda birdek ishlaydi.,Funksiya kompyuter va mobil qurilmalarda birdek ishlaydi.,0.0,funksiya kompyuter va mobil qurilmalarda birdek ishlaydi,funksiya kompyuter va mobil qurilmalarda birdek ishlaydi,0.0,0.0,1.0,7,7
262455.wav,uzbek_voice,Internetda bunday baliq borligiga ishonishmayapti.,Internetda bunday baliq borligiga ishonishmayapti.,0.0,internetda bunday baliq borligiga ishonishmayapti,internetda bunday baliq borligiga ishonishmayapti,0.0,0.0,1.0,5,5
183878.wav,uzbek_voice,Xitoy osmonida ulkan olovli shar paydo bo'ldi.,Xitoy osmonida ulkan olovli ishlar paydo bo'ldi.,0.1429,xitoy osmonida ulkan olovli shar paydo bo'ldi,xitoy osmonida ulkan olovli ishlar paydo bo'ldi,0.1429,0.0444,0.9783,7,7
332729.wav,uzbek_voice,Toshkentda ilk marta turkiy kengashning biznes forumi o'tkaziladi.,Toshkentda ilk marta Turkiya Kengashining biznes forumi o'tkaziladi.,0.25,toshkentda ilk marta turkiy kengashning biznes forumi o'tkaziladi,toshkentda ilk marta turkiya kengashining biznes forumi o'tkaziladi,0.25,0.0308,0.9848,8,8
138029.wav,uzbek_voice,"Shuningdek, Portugaliyada ham futbol bahslariga ruxsat berildi.","Shuningdek, Portugaliyada ham futbol bahslariga ruxsat berildi.",0.0,shuningdek portugaliyada ham futbol bahslariga ruxsat berildi,shuningdek portugaliyada ham futbol bahslariga ruxsat berildi,0.0,0.0,1.0,7,7
21011.wav,it,"Xo'p, undan keyin TypeScript hozirgi kunda eng rivojlanayotgan dasturlash tili hisoblanadi. TypeScript JavaScript ichidagi ma'lumot turlaridan foydalanish uchun ishlatiladi. Bilamiz JavaScript","Xo'p, undan keyin TypeScript hozirgi kunda eng rivojlanayotgan dasturlash tili hisoblanadi. TypeScript JavaScript ichidagi ma'lumot turlaridan foydalanish uchun ishlatiladi. Bilamiz JavaScript",0.0,xo'p undan keyin typescript hozirgi kunda eng rivojlanayotgan dasturlash tili hisoblanadi typescript javascript ichidagi ma'lumot turlaridan foydalanish uchun ishlatiladi bilamiz javascript,xo'p undan keyin typescript hozirgi kunda eng rivojlanayotgan dasturlash tili hisoblanadi typescript javascript ichidagi ma'lumot turlaridan foydalanish uchun ishlatiladi bilamiz javascript,0.0,0.0,1.0,21,21
188927.wav,uzbek_voice,Jeydon Sancho esa o'yindan o'yinga kuchayib bormoqda.,Jeyden Sancho esa o'yindan o'yinga kuchayib bormoqda.,0.1429,jeydon sancho esa o'yindan o'yinga kuchayib bormoqda,jeyden sancho esa o'yindan o'yinga kuchayib bormoqda,0.1429,0.0192,0.9808,7,7
315284.wav,uzbek_voice,Toshkentda Happy Caravan xalqaro turniri boshlandi.,Toshkentda Happy Caravan xalqaro turnira boshlandi.,0.1667,toshkentda happy caravan xalqaro turniri boshlandi,toshkentda happy caravan xalqaro turnira boshlandi,0.1667,0.02,0.98,6,6
456005.wav,uzbek_voice,Qiz bolani uyda tuqqanligi haqida tushuntirish xati yozib bergan.,Qiz bolani uyida tuqqanligi haqida tushuntirish xarta yozib bergan.,0.2222,qiz bolani uyda tuqqanligi haqida tushuntirish xati yozib bergan,qiz bolani uyida tuqqanligi haqida tushuntirish xarta yozib bergan,0.2222,0.0469,0.9692,9,9
488714.wav,uzbek_voice,Unda yashirin kuzatishlarni amalga oshirish imkonini beradigan kameralar yo'q.,Unda yashirin kuzatishlarni amalga oshirish imkonini beradigan kameralar yo'q.,0.0,unda yashirin kuzatishlarni amalga oshirish imkonini beradigan kameralar yo'q,unda yashirin kuzatishlarni amalga oshirish imkonini beradigan kameralar yo'q,0.0,0.0,1.0,9,9
192971.wav,uzbek_voice,Tramp ma'muriyati Keystone neft quvuri qurilishini ma'qulladi.,Tramp ma'muriyati Keystaun neft quvuri qurilishini ma'qulladi.,0.1429,tramp ma'muriyati keystone neft quvuri qurilishini ma'qulladi,tramp ma'muriyati keystaun neft quvuri qurilishini ma'qulladi,0.1429,0.0492,0.9672,7,7
common_voice_uz_28918894.wav,common_voice,Rahmonov esa deyarli his-tuyg'ulardan va odamiylikdan mahrum.,Rahmonov esa deyarli studiyov ulardan va odamiylikdan mahrum.,0.2857,rahmonov esa deyarli his-tuyg'ulardan va odamiylikdan mahrum,rahmonov esa deyarli studiyov ulardan va odamiylikdan mahrum,0.2857,0.1333,0.9167,7,8
common_voice_uz_28893241.wav,common_voice,O'zbek va rus tillarini yaxshi darajada bilish muhim.,O'zbek rus tillarini yaxshi darajada bilishi muhim.,0.25,o'zbek va rus tillarini yaxshi darajada bilish muhim,o'zbek rus tillarini yaxshi darajada bilishi muhim,0.25,0.0769,0.9608,8,7
194793.wav,uzbek_voice,Natijada nikohsiz er voqea joyida vafot etdi.,Natijada nikohsiz er voqea joyida vafot etdi.,0.0,natijada nikohsiz er voqea joyida vafot etdi,natijada nikohsiz er voqea joyida vafot etdi,0.0,0.0,1.0,7,7
863205.wav,uzbek_voice,Hamma o'ziga berilgan hayotni o'zi istaganday yashashga haqli.,Hamma o'ziga berilgan hayotni o'zi istaganda yashashga haqli.,0.125,hamma o'ziga berilgan hayotni o'zi istaganday yashashga haqli,hamma o'ziga berilgan hayotni o'zi istaganda yashashga haqli,0.125,0.0164,0.9917,8,8
155987.wav,uzbek_voice,Shavkat Mirziyoyev Rossiya prezidentiga hamdardlik maktubi yo'lladi.,Shavkat Mirziyoyev Rossiya prezidentiga hamdardlik maktubi yo'lladi.,0.0,shavkat mirziyoyev rossiya prezidentiga hamdardlik maktubi yo'lladi,shavkat mirziyoyev rossiya prezidentiga hamdardlik maktubi yo'lladi,0.0,0.0,1.0,7,7
common_voice_uz_29394194.wav,common_voice,Fikrni cheklash uchun uni cheklovchi maxsus usullar o'ylab topildi.,Fikrni cheklash uchun uni cheklovchi maxsus usullar o'ylab topildi.,0.0,fikrni cheklash uchun uni cheklovchi maxsus usullar o'ylab topildi,fikrni cheklash uchun uni cheklovchi maxsus usullar o'ylab topildi,0.0,0.0,1.0,9,9
323531.wav,uzbek_voice,Shundagina ism-familiya masalasida muammo bo'lmaydi.,Shundagina ism-familiya masalasida muammo bo'lmaydi.,0.0,shundagina ism-familiya masalasida muammo bo'lmaydi,shundagina ism-familiya masalasida muammo bo'lmaydi,0.0,0.0,1.0,5,5
common_voice_uz_29610254.wav,common_voice,"Birinchidan, kelgusi 5 yilda mehnat unumdorligini kamida 2 marta oshirish uchun sharoit yaratamiz.","Birinchidan, kelgusi 5 yilda mehnat unumdorligini kamida ikki marta oshirish uchun sharoit yaratamiz.",0.0769,birinchidan kelgusi besh yilda mehnat unumdorligini kamida ikki marta oshirish uchun sharoit yaratamiz,birinchidan kelgusi besh yilda mehnat unumdorligini kamida ikki marta oshirish uchun sharoit yaratamiz,0.0,0.0,1.0,13,13
common_voice_uz_28924210.wav,common_voice,"Shunday tizimni bir xillarda ""davlat kapitalizmi"" yoki ""tijoriylashgan sotsializm"" deyishadi.",Shunday tizimni bir xillarda davlat kapitalizmi yoki tijorilashgan sotsializm deyishadi.,0.4,shunday tizimni bir xillarda davlat kapitalizmi yoki tijoriylashgan sotsializm deyishadi,shunday tizimni bir xillarda davlat kapitalizmi yoki tijorilashgan sotsializm deyishadi,0.1,0.0114,0.9943,10,10
00009927.wav,news,"keldik. Endi Xudo xohlasa natijasini hozir chiqqanda bilamiz. O'g'lim, o'sha Jahon tillari institutiga topshiryapti. Koreys tili fakultetiga.",keldi. Endi xudo xohlasa natijasini hozir chiqqanda bilamiz. O'g'lim o'sha Jahon tillari institutiga topshiryapti. Karstila fakultetiga.,0.2941,keldik endi xudo xohlasa natijasini hozir chiqqanda bilamiz o'g'lim o'sha jahon tillari institutiga topshiryapti koreys tili fakultetiga,keldi endi xudo xohlasa natijasini hozir chiqqanda bilamiz o'g'lim o'sha jahon tillari institutiga topshiryapti karstila fakultetiga,0.1765,0.0441,0.9701,17,16
common_voice_uz_29271455.wav,common_voice,Qirg'iziston hukumati va Kanada kompaniyasi nima sababdan Qumtor oltin konini bo'lisha olmayapti?,Qirg'iziston hukumati va Kanada kompaniyasi nima sababdan qumkor oltin konini bo'lisha olmayapti?,0.0833,qirg'iziston hukumati va kanada kompaniyasi nima sababdan qumtor oltin konini bo'lisha olmayapti,qirg'iziston hukumati va kanada kompaniyasi nima sababdan qumkor oltin konini bo'lisha olmayapti,0.0833,0.0104,0.9896,12,12
